Compound,CID,CanonicalSMILES,norman_sus_dat_id,pnec_ugL
Neburon,11145,CCCCN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl,NS00005770,0.35964
N-Phenylurea,6145,C1=CC=C(C=C1)NC(=O)N,NS00000269,2.37645
O-Desmethylvenlafaxine,125017,CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O,NS00000330,0.006
Oxypurinol,135398752,C1=NNC2=C1C(=O)NC(=O)N2,NS00006655,14
Perfluorobutanoic acid,9777,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,NS00000364,0.0000044
Pirimicarb,31645,CC1=C(N=C(N=C1OC(=O)N(C)C)N(C)C)C,NS00000362,0.09
Propranolol,4946,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,NS00000196,0.02
Pyridafol,92316,C1=CC=C(C=C1)C2=NNC(=CC2=O)Cl,NS00007024,1
Rotigotine,59227,CCCN(CCC1=CC=CS1)C2CCC3=C(C2)C=CC=C3O,NS00002770,0.20859
Saccharin,5143,C1=CC=C2C(=C1)C(=O)NS2(=O)=O,NS00007781,35.85558
Salicylic acid,338,C1=CC=C(C(=C1)C(=O)O)O,NS00010274,18
Sertraline,68617,CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,NS00000030,0.0094
Sotalol,5253,CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,NS00000195,6.51849
Sucralose,71485,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CCl)O)O)CCl)O)O)Cl)O,NS00000320,29.69427
Sulfamethazine,5327,CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N)C,NS00000199,30
Sulfamethoxazole,5329,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,NS00000268,0.1
Sumatriptan,5358,CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C,NS00009397,250
Terbuthylazine,22206,CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C,NS00000258,0.22
Terbutryn,13450,CCNC1=NC(=NC(=N1)SC)NC(C)(C)C,NS00000276,0.065
Thiabendazole,5430,C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3,NS00007958,1.2
Thiacloprid,115224,C1CSC(=NC#N)N1CC2=CN=C(C=C2)Cl,NS00000448,0.01
Tramadol,33741,CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O,NS00000338,8.65383
Triclosan,5564,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,NS00010282,0.02
Triisobutyl phosphate,31355,CC(C)COP(=O)(OCC(C)C)OCC(C)C,NS00008118,11
Trimethoprim,5578,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,NS00000211,0.1
Tris(3-chloropropyl) phosphate,14034,C(COP(=O)(OCCCCl)OCCCCl)CCl,NS00073945,15.18219137
Venlafaxine,5656,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,NS00000031,0.006
