"name","SMILES","InChI","InChIKey","formula","neutralMass","molNeutralized","mz"
"Ciprofloxacin-TP32","N1C=CC(=O)C2=CC(=C(C=C21)N(CC=O)CCN)F","InChI=1S/C13H14FN3O2/c14-10-7-9-11(16-3-1-13(9)19)8-12(10)17(4-2-15)5-6-18/h1,3,6-8H,2,4-5,15H2,(H,16,19)","OLLRKUNALSYFKY-UHFFFAOYSA-N","C13H14FN3O2",263.107004908,FALSE,NA
"Ciprofloxacin-TP33","N1C=CC(=O)C2=CC(=C(C=C21)NCCNCC=O)F","InChI=1S/C13H14FN3O2/c14-10-7-9-11(16-2-1-13(9)19)8-12(10)17-4-3-15-5-6-18/h1-2,6-8,15,17H,3-5H2,(H,16,19)","CYDQYPLFEYYFRW-UHFFFAOYSA-N","C13H14FN3O2",263.107004908,FALSE,NA
"Ciprofloxacin-TP15","C1CC1n1cc(c(=O)c2cc(c(cc12)N(CC(=O)O)CCN)F)C(=O)O","InChI=1S/C17H18FN3O5/c18-12-5-10-13(6-14(12)20(4-3-19)8-15(22)23)21(9-1-2-9)7-11(16(10)24)17(25)26/h5-7,9H,1-4,8,19H2,(H,22,23)(H,25,26)","QKACDVWGBFAEAT-UHFFFAOYSA-N","C17H18FN3O5",363.123048896,TRUE,NA
"Ciprofloxacin-TP34","C1CC1n1cc(c(=O)c2cc(c(cc12)N(CC(=O)O)CC=O)F)C(=O)O","InChI=1S/C17H15FN2O6/c18-12-5-10-13(6-14(12)19(3-4-21)8-15(22)23)20(9-1-2-9)7-11(16(10)24)17(25)26/h4-7,9H,1-3,8H2,(H,22,23)(H,25,26)","HQMLEZFHJVGTIO-UHFFFAOYSA-N","C17H15FN2O6",362.09141442,TRUE,NA
"Ciprofloxacin-TP35","C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)NCCN)F)C(=O)O","InChI=1S/C15H16FN3O3/c16-11-5-9-13(6-12(11)18-4-3-17)19(8-1-2-8)7-10(14(9)20)15(21)22/h5-8,18H,1-4,17H2,(H,21,22)","ZYLULTURYPAERI-UHFFFAOYSA-N","C15H16FN3O3",305.117569592,FALSE,NA
"Ciprofloxacin-TP37","C1CC1n1cc(c(=O)c2cc(c(cc12)NCC(=O)O)F)C(=O)O","InChI=1S/C15H13FN2O5/c16-10-3-8-12(4-11(10)17-5-13(19)20)18(7-1-2-7)6-9(14(8)21)15(22)23/h3-4,6-7,17H,1-2,5H2,(H,19,20)(H,22,23)","FBYLESKENJMPSP-UHFFFAOYSA-N","C15H13FN2O5",320.080849736,TRUE,NA
"Ciprofloxacin-TP39","[nH]1cc(c(=O)c2cc(c(cc12)N(CC(=O)O)CCN)F)C(=O)O","InChI=1S/C14H14FN3O5/c15-9-3-7-10(17-5-8(13(7)21)14(22)23)4-11(9)18(2-1-16)6-12(19)20/h3-5H,1-2,6,16H2,(H,17,21)(H,19,20)(H,22,23)","LGWZBZUOUXOONC-UHFFFAOYSA-N","C14H14FN3O5",323.091748768,TRUE,NA
"Ciprofloxacin-TP16","C1CC1n1cc(c(=O)c2cc(c(cc12)NCCNCC(=O)O)F)C(=O)O","InChI=1S/C17H18FN3O5/c18-12-5-10-14(6-13(12)20-4-3-19-7-15(22)23)21(9-1-2-9)8-11(16(10)24)17(25)26/h5-6,8-9,19-20H,1-4,7H2,(H,22,23)(H,25,26)","VIRWEDCXLATHFN-UHFFFAOYSA-N","C17H18FN3O5",363.123048896,TRUE,NA
"Ciprofloxacin-TP40","C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N)F)C(=O)O","InChI=1S/C13H11FN2O3/c14-9-3-7-11(4-10(9)15)16(6-1-2-6)5-8(12(7)17)13(18)19/h3-6H,1-2,15H2,(H,18,19)","WPZKYVITJZPWOT-UHFFFAOYSA-N","C13H11FN2O3",262.075370432,FALSE,NA
"Ciprofloxacin-TP42","C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)NCC=O)F)C(=O)O","InChI=1S/C15H13FN2O4/c16-11-5-9-13(6-12(11)17-3-4-19)18(8-1-2-8)7-10(14(9)20)15(21)22/h4-8,17H,1-3H2,(H,21,22)","UVDVLUXZPWPYJZ-UHFFFAOYSA-N","C15H13FN2O4",304.085935116,FALSE,NA
"Ciprofloxacin-TP44","[nH]1cc(c(=O)c2cc(c(cc12)NCCNCC(=O)O)F)C(=O)O","InChI=1S/C14H14FN3O5/c15-9-3-7-10(18-5-8(13(7)21)14(22)23)4-11(9)17-2-1-16-6-12(19)20/h3-5,16-17H,1-2,6H2,(H,18,21)(H,19,20)(H,22,23)","NCNHWCAUUNUVKX-UHFFFAOYSA-N","C14H14FN3O5",323.091748768,TRUE,NA
"Ciprofloxacin-TP45","C1CC1N2C=C(C(=O)C3=CC(=C(C(=C32)O)O)F)C(=O)O","InChI=1S/C13H10FNO5/c14-8-3-6-9(12(18)11(8)17)15(5-1-2-5)4-7(10(6)16)13(19)20/h3-5,17-18H,1-2H2,(H,19,20)","LQHBMLCJSMZJPH-UHFFFAOYSA-N","C13H10FNO5",279.05430064,FALSE,NA
