"group","ret","mz","20250630_D1_S1_NTS_Pos_2-22_1_10520","20250630_D1_S2_NTS_Pos_2-23_1_10521","20250630_D1_S3_NTS_Pos_2-24_1_10522","20250630_D1_S4_NTS_Pos_2-3_1_10500","20250630_D1_S5_NTS_Pos_2-4_1_10501","20250630_D1_S6_NTS_Pos_2-5_1_10502","20250630_D1_S7_NTS_Pos_1-38_1_10480","20250630_D1_S8_NTS_Pos_1-39_1_10481","20250630_D1_S9_NTS_Pos_1-40_1_10482","20250630_D2_S1_NTS_Pos_2-25_1_10523","20250630_D2_S10_NTS_Pos_1-22_1_10463","20250630_D2_S11_NTS_Pos_1-23_1_10464","20250630_D2_S12_NTS_Pos_1-24_1_10465","20250630_D2_S2_NTS_Pos_2-26_1_10524","20250630_D2_S3_NTS_Pos_2-27_1_10525","20250630_D2_S4_NTS_Pos_2-6_1_10503","20250630_D2_S5_NTS_Pos_2-7_1_10504","20250630_D2_S6_NTS_Pos_2-8_1_10505","20250630_D2_S7_NTS_Pos_1-41_1_10483","20250630_D2_S8_NTS_Pos_1-42_1_10484","20250630_D2_S9_NTS_Pos_1-43_1_10485","20250630_D3_S1_NTS_Pos_2-28_1_10526","20250630_D3_S10_NTS_Pos_1-25_1_10466","20250630_D3_S11_NTS_Pos_1-26_1_10467","20250630_D3_S12_NTS_Pos_1-27_1_10468","20250630_D3_S2_NTS_Pos_2-29_1_10527","20250630_D3_S3_NTS_Pos_2-30_1_10528","20250630_D3_S4_NTS_Pos_2-9_1_10506","20250630_D3_S5_NTS_Pos_2-10_1_10507","20250630_D3_S6_NTS_Pos_2-11_1_10508","20250630_D3_S7_NTS_Pos_1-44_1_10486","20250630_D3_S8_NTS_Pos_1-45_1_10487","20250630_D3_S9_NTS_Pos_1-46_1_10488","20250630_D4_S1_NTSPos_2-31_1_10529","20250630_D4_S10_NTS_Pos_1-28_1_10469","20250630_D4_S11_NTS_Pos_1-29_1_10470","20250630_D4_S12_NTS_Pos_1-30_1_10471","20250630_D4_S2_NTS_Pos_2-32_1_10530","20250630_D4_S3_NTS_Pos_2-33_1_10531","20250630_D4_S4_NTS_Pos_2-12_1_10509","20250630_D4_S5_NTS_Pos_2-13_1_10510","20250630_D4_S6_NTS_Pos_2-14_1_10511","20250630_D4_S7_NTS_Pos_1-47_1_10489","20250630_D4_S8_NTS_Pos_1-48_1_10490","20250630_D4_S9_NTS_Pos_1-49_1_10491","20250630_D5_S1_NTS_Pos_2-34_1_10532","20250630_D5_S10_NTS_Pos_1-31_1_10472","20250630_D5_S11_NTS_Pos_1-32_1_10473","20250630_D5_S12_NTS_Pos_1-33_1_10474","20250630_D5_S2_NTS_Pos_2-35_1_10533","20250630_D5_S3_NTS_Pos_2-36_1_10534","20250630_D5_S4_NTS_Pos_2-15_1_10512","20250630_D5_S5_NTS_Pos_2-16_1_10513","20250630_D5_S6_NTS_Pos_2-17_1_10514","20250630_D5_S7_NTS_Pos_1-50_1_10492","20250630_D5_S8_NTS_Pos_1-51_1_10493","20250630_D5_S9_NTS_Pos_1-52_1_10494","20250630_D6_S1_NTS_Pos_2-37_1_10535","20250630_D6_S10_NTS_Pos_1-34_1_10475","20250630_D6_S11_NTS_Pos_1-35_1_10476","20250630_D6_S12_NTS_Pos_1-36_1_10477","20250630_D6_S2_NTS_Pos_2-38_1_10536","20250630_D6_S3_NTS_Pos_2-39_1_10537","20250630_D6_S4_NTS_Pos_2-18_1_10515","20250630_D6_S5_NTS_Pos_2-19_1_10516","20250630_D6_S6_NTS_Pos_2-20_1_10517","20250630_D6_S7_NTS_Pos_1-53_1_10495","20250630_D6_S8_NTS_Pos_1-54_1_10496","20250630_D6_S9_NTS_Pos_2-1_1_10497","20250701_D1_S1_NTS_Neg_2-22_1_10621","20250701_D1_S2_NTS_Neg_2-23_1_10622","20250701_D1_S3_NTS_Neg_2-24_1_10623","20250701_D1_S4_NTS_Neg_2-3_1_10601","20250701_D1_S5_NTS_Neg_2-4_1_10602","20250701_D1_S6_NTS_Neg_2-5_1_10603","20250701_D1_S7_NTS_Neg_1-38_1_10581","20250701_D1_S8_NTS_Neg_1-39_1_10582","20250701_D1_S9_NTS_Neg_1-40_1_10583","20250701_D2_S1_NTS_Neg_2-25_1_10624","20250701_D2_S10_NTS_Neg_1-22_1_10564","20250701_D2_S11_NTS_Neg_1-23_1_10565","20250701_D2_S12_NTS_Neg_1-24_1_10566","20250701_D2_S2_NTS_Neg_2-26_1_10625","20250701_D2_S3_NTS_Neg_2-27_1_10626","20250701_D2_S4_NTS_Neg_2-6_1_10604","20250701_D2_S5_NTS_Neg_2-7_1_10605","20250701_D2_S6_NTS_Neg_2-8_1_10606","20250701_D2_S7_NTS_Neg_1-41_1_10584","20250701_D2_S8_NTS_Neg_1-42_1_10585","20250701_D2_S9_NTS_Neg_1-43_1_10586","20250701_D3_S1_NTS_Neg_2-28_1_10627","20250701_D3_S10_NTS_Neg_1-25_1_10567","20250701_D3_S11_NTS_Neg_1-26_1_10568","20250701_D3_S12_NTS_Neg_1-27_1_10569","20250701_D3_S2_NTS_Neg_2-29_1_10628","20250701_D3_S3_NTS_Neg_2-30_1_10629","20250701_D3_S4_NTS_Neg_2-9_1_10607","20250701_D3_S5_NTS_Neg_2-10_1_10608","20250701_D3_S6_NTS_Neg_2-11_1_10609","20250701_D3_S7_NTS_Neg_1-44_1_10587","20250701_D3_S8_NTS_Neg_1-45_1_10588","20250701_D3_S9_NTS_Neg_1-46_1_10589","20250701_D4_S1_NTS_Neg_2-31_1_10630","20250701_D4_S10_NTS_Neg_1-28_1_10570","20250701_D4_S11_NTS_Neg_1-29_1_10571","20250701_D4_S12_NTS_Neg_1-30_1_10572","20250701_D4_S2_NTS_Neg_2-32_1_10631","20250701_D4_S3_NTS_Neg_2-33_1_10632","20250701_D4_S4_NTS_Neg_2-12_1_10610","20250701_D4_S5_NTS_Neg_2-13_1_10611","20250701_D4_S6_NTS_Neg_2-14_1_10612","20250701_D4_S7_NTS_Neg_1-47_1_10590","20250701_D4_S8_NTS_Neg_1-48_1_10591","20250701_D4_S9_NTS_Neg_1-49_1_10592","20250701_D5_S1_NTS_Neg_2-34_1_10633","20250701_D5_S10_NTS_Neg_1-31_1_10573","20250701_D5_S11_NTS_Neg_1-32_1_10574","20250701_D5_S12_NTS_Neg_1-33_1_10575","20250701_D5_S2_NTS_Neg_2-35_1_10634","20250701_D5_S3_NTS_Neg_2-36_1_10635","20250701_D5_S4_NTS_Neg_2-15_1_10613","20250701_D5_S5_NTS_Neg_2-16_1_10614","20250701_D5_S6_NTS_Neg_2-17_1_10615","20250701_D5_S7_NTS_Neg_1-50_1_10593","20250701_D5_S8_NTS_Neg_1-51_1_10594","20250701_D5_S9_NTS_Neg_1-52_1_10595","20250701_D6_S1_NTS_Neg_2-37_1_10636","20250701_D6_S10_NTS_Neg_1-34_1_10576","20250701_D6_S11_NTS_Neg_1-35_1_10577","20250701_D6_S12_NTS_Neg_1-36_1_10578","20250701_D6_S2_NTS_Neg_2-38_1_10637","20250701_D6_S3_NTS_Neg_2-39_1_10638","20250701_D6_S4_NTS_Neg_2-18_1_10616","20250701_D6_S5_NTS_Neg_2-19_1_10617","20250701_D6_S6_NTS_Neg_2-20_1_10618","20250701_D6_S7_NTS_Neg_1-53_1_10596","20250701_D6_S8_NTS_Neg_1-54_1_10597","20250701_D6_S9_NTS_Neg_2-1_1_10598","adduct","neutralMass","susp_name"
"M154_R385_163",385.104334,154.039607,121940,130195,123793,0,0,0,141733,139680,122655,143317,0,0,0,115219,124129,106940,203311,138646,0,0,0,0,0,0,0,0,0,169577,147351,140056,0,0,0,0,0,0,0,0,0,167481,220408,207603,153086,141503,142764,148640,0,0,0,172632,182790,111662,142484,142208,168381,127165,127806,137414,0,0,0,145934,137831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[M+H]+",154.039607,"2-amino-4-nitrophenol,Chlorpyrifos-TP16,Diethylphosphate,Triisobutyl phosphate-TP6"
"M154_R296_164",295.552222278086,154.0627725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76074,59681,28749,0,0,0,0,0,0,0,0,0,0,0,0,0,59034,63991,78935,0,0,0,0,0,73154,54763,124614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68583,59204,67846,0,0,0,0,0,0,0,0,"[M+H]+,[M-H]-",154.0627725,"Cyclohexane-1,2-dicarboxylic anhydride,Cyclohexane-1,2-dicarboxylic anhydride [1],  cis-cyclohexane-1,2-dicarboxylic anhydride [2],  trans-cyclohexane-1,2-dicarboxylic anhydride [3] [The in,Gemfibrozil-TP18"
"M154_R266_165",266.301571,154.062997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69795,73927,46877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[M+H]+",154.062997,"Cyclohexane-1,2-dicarboxylic anhydride,Cyclohexane-1,2-dicarboxylic anhydride [1],  cis-cyclohexane-1,2-dicarboxylic anhydride [2],  trans-cyclohexane-1,2-dicarboxylic anhydride [3] [The in,Gemfibrozil-TP18"
"M156_R77_173",76.948881,155.969444,68988,53822,103393,0,0,0,73518,68212,58137,66744,0,0,0,88299,79962,85983,80999,64641,0,0,0,57737,0,0,0,82326,74127,68417,87805,52316,71265,59367,73101,0,54852,69048,51277,0,0,60586,77952,84025,0,0,0,60925,0,0,0,63631,82368,53778,66840,75297,73684,62326,50661,56144,79791,92294,67015,61354,67120,0,0,0,51669,64132,81822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[M+H]+",155.969444,"Lithium trifluoromethanesulphonate"
"M156_R179_174",178.745090836012,156.078222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69488,93091,110336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[M-H]-",156.078222,"1-Arylpyridinium,Gemfibrozil-TP16,Hexa(methoxymethyl)melamine"
"M157_R377_176",376.608311,157.110464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147593,0,0,0,135941,139735,116613,115846,105471,153472,76529,135807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[M+H]+",157.110464,"2-(Dimethylamino)ethyl methacrylate,Tranexamic acid"
"M157_R322_177",321.850451,157.14681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87060,0,0,0,64331,88033,0,0,0,0,0,0,0,93795,70036,72988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[M+H]+",157.14681,"N,N-Dibutylformamide"
"M158_R337_180",337.440127,158.048278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110613,54328,87454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[M+H]+",158.048278,"Allantoin,Saccharin-TP47"
"M158_R174_181",173.81393669122,158.057354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112009,80736,71871,0,0,0,0,0,0,0,0,0,63183,51933,61668,61758,67203,57537,0,0,0,0,0,0,177748,172004,78622,0,0,0,"[M-H]-",158.057354,"1-ethoxy-2,3-difluorobenzene,CANDESARTAN CILEXETIL-TP51,CANDESARTAN CILEXETIL-TP53,CANDESARTAN CILEXETIL-TP55,Clarithromycin-TP229,Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-, ether with .alpha.-fluoro-.omega.-(2-hydroxyethyl)poly(difluoromethylene) (1_1)"
"M158_R228_182",228.351129,158.057921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80839,82738,94252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[M+H]+",158.057921,"1-ethoxy-2,3-difluorobenzene,CANDESARTAN CILEXETIL-TP51,CANDESARTAN CILEXETIL-TP53,CANDESARTAN CILEXETIL-TP55,Clarithromycin-TP229,Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-, ether with .alpha.-fluoro-.omega.-(2-hydroxyethyl)poly(difluoromethylene) (1_1)"
"M158_R350_183",349.727300724946,158.130216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96115,303752,566862,387420,107458,73296,282891,432806,372695,414490,357469,371403,0,260833,383037,343281,0,0,448712,476721,631066,551000,518402,398642,"[M-H]-",158.130216,"3,5,5-Trimethylhexanoic acid,Isononanoic acid"
"M160_R232_185",231.626324039527,160.073056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58979,56588,23732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59260,17481,51352,0,0,0,0,0,0,0,0,0,0,0,0,"[M-H]-",160.073056,"CANDESARTAN CILEXETIL-TP21,CANDESARTAN CILEXETIL-TP22,CANDESARTAN CILEXETIL-TP23,Clarithromycin-TP227,Clarithromycin-TP83,Dimethyl glutarate,Gemfibrozil-TP9,Hydralazine,Pimelic acid,Propane-1,2-diyl diacetate"
"M162_R271_187",271.040441,162.068113,0,0,0,0,0,0,0,0,0,112271,0,0,0,139924,136625,0,0,0,0,0,0,75320,0,0,0,79580,104924,37978,55429,84492,0,0,0,63416,0,0,0,82817,75999,0,0,0,0,0,0,72066,0,0,0,57657,59730,0,0,0,0,0,0,67919,0,0,0,71313,88843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[M+H]+",162.068113,"2-Acetylacetophenone,5-allyl-1,3-benzodioxole,Rotigotine-TP7"
"M162_R324_188",323.592603,162.068172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148845,202294,54393,0,0,135112,87597,130769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[M+H]+",162.068172,"2-Acetylacetophenone,5-allyl-1,3-benzodioxole,Rotigotine-TP7"
"M162_R429_189",429.233043,162.104409,76802,59229,56725,80467,62234,56662,70125,67794,58621,63977,78838,84590,77194,50341,68772,83521,65005,66483,82142,82091,83371,0,77991,81691,73059,0,0,0,0,0,0,0,0,61397,0,0,0,64459,52188,66476,78109,65975,57862,72321,63910,55255,0,0,0,56699,62576,65431,88307,69215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[M+H]+",162.104409,"4-iso-Propylacetophenone"
"M163_R350_190",349.794124,163.063262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50486,71222,55550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[M+H]+",163.063262,"(S)-2,3-dihydro-1H-indole-2-carboxylic acid"
"M165_R400_193",400.244314,165.115692,307038,271306,250819,0,0,0,0,0,0,495119,0,0,0,340723,411596,126930,254673,209341,220464,196598,128445,0,74010,93914,71092,0,0,119878,160971,174175,271580,352790,169617,485246,99600,108364,96489,597102,438677,312998,300989,283875,392752,442953,355825,234826,0,0,0,298286,235077,0,0,0,0,0,0,114196,0,0,0,133914,88284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[M+H]+",165.115692,"3-[(1S)-1-(Dimethylamino)ethyl]phenol,3-cyano-3,5,5-trimethylcyclohexanone,3-diethylaminophenol,Ephedrine,Hordenine,Para-Methoxyamphetamine"
"M166_R207_195",206.939342309819,166.025984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187105,182538,118128,110386,99537,121921,57958,40370,29828,82106,52418,51930,135061,209628,150972,208154,198154,195374,0,0,0,0,0,0,162306,171343,239991,144488,96649,79439,0,109409,136280,98760,0,0,262518,253933,175938,123422,139065,87999,107578,0,0,0,43307,72092,61507,150272,129346,0,0,0,52734,0,0,0,58087,52136,149896,248088,255427,124535,101497,105350,"[M-H]-",166.025984,"Terephthalic acid"
"M166_R289_196",289.299083,166.062961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53156,51397,56460,0,0,0,0,0,0,62551,43739,30796,0,0,0,0,0,0,0,0,0,0,0,0,48067,30901,87292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[M+H]+",166.062961,"1,2,3,6-tetrahydro-3-methylphthalic anhydride,3-Ethoxy-4-hydroxybenzaldehyde,Ethylparaben,MCPA-TP3,Venlafaxine HCl-TP22,Venlafaxine-d6-TP22"
"M166_R330_197",329.950671,166.06297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66879,83096,68746,51949,94252,106048,0,0,0,0,0,0,78032,67597,31145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[M+H]+",166.06297,"1,2,3,6-tetrahydro-3-methylphthalic anhydride,3-Ethoxy-4-hydroxybenzaldehyde,Ethylparaben,MCPA-TP3,Venlafaxine HCl-TP22,Venlafaxine-d6-TP22"
"M166_R343_198",343.451127,166.099423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96207,0,0,0,78239,68928,101950,71478,76821,51256,74925,63271,0,0,0,0,0,0,0,0,0,53350,58863,56381,0,0,0,0,0,0,0,0,0,0,0,0,67090,0,0,0,72287,26694,100851,69700,64753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[M+H]+",166.099423,"(2,2-Dimethoxyethyl)benzene,Cyromazine _ N-cyclopropyl-1,3,5-triazine-2,4,6-triamine,tert-Butylhydroquinone"
"M166_R387_199",386.523029,166.09954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57911,71373,63607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[M+H]+",166.09954,"(2,2-Dimethoxyethyl)benzene,Cyromazine _ N-cyclopropyl-1,3,5-triazine-2,4,6-triamine,tert-Butylhydroquinone"
"M167_R327_203",327.21194,167.050367,0,0,0,0,0,0,53632,63545,93006,70420,0,0,0,77712,83733,0,0,0,0,0,0,59499,0,0,0,99220,82729,0,0,0,0,0,0,93832,0,0,0,109753,99392,0,0,0,0,0,0,78383,0,0,0,106594,68123,0,0,0,0,0,0,81516,0,0,0,57705,64311,113188,139025,82057,79281,81438,80637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[M+H]+",167.050367,"Sodium 2-(2-aminoethylamino)ethanesulfonate"
"M168_R296_204",295.534585,168.078635,0,0,0,0,0,0,0,0,0,0,66357,80048,101577,0,0,0,0,0,48836,45896,99583,0,0,0,0,0,0,22177,40982,55281,0,0,0,0,0,0,0,0,0,70338,50640,98212,50464,49850,50099,0,0,0,0,0,0,0,0,0,34848,85827,63495,0,64030,78314,47760,0,0,87674,71458,45447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[M+H]+",168.078635,"Clofibric acid-TP22,Hexahydro-3-methylphthalic anhydride,Hexahydro-4-methylphthalic anhydride,Hexahydromethylphthalic anhydride,Isoproturon-TP13"
"M169_R270_205",269.501255,169.110198,0,0,0,0,0,0,0,0,0,51295,0,0,0,135883,58885,48380,57689,58546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124812,0,0,0,173642,149090,0,0,0,0,0,0,129236,0,0,0,90976,142425,0,0,0,0,0,0,118273,0,0,0,112318,83532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[M+H]+",169.110198,"Aceclidine"
"M169_R250_206",250.456195,169.110214,0,0,0,0,0,0,0,0,0,65488,0,0,0,70079,63303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38990,0,0,0,53032,48675,0,0,0,0,0,0,46285,0,0,0,91894,42306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[M+H]+",169.110214,"Aceclidine"
